QuestionId,Title,Link,Tags,Content,Time,Votes,Answers,Views,Accepted,Detailed,Definitive
72799060,Unauthorize to run apply Kubernetes via gitLab-runner,https://stackoverflow.com/questions/72799060/unauthorize-to-run-apply-kubernetes-via-gitlab-runner,"['kubernetes', 'gitlab', 'gitlab-ci-runner', 'gitlab-runner']","I have set up deployment staage in .gitlab-ci.yml as here
deploy_internal_dev:
  stage: deploy_internal
  only:
    - master
  image: image
  environment:
    name: Dev
    url: url
  script:
    - ...",2022-06-29 09:32:06Z,0,0,95,False,False,False
72797135,readiness probe with command running scripts readiness-probe.sh failed on openshift by Mongodb Helm Chart bitnami,https://stackoverflow.com/questions/72797135/readiness-probe-with-command-running-scripts-readiness-probe-sh-failed-on-opensh,"['mongodb', 'openshift', 'kubernetes-helm', 'kubernetes-pod', 'bitnami']","by Deploying the Mongodb Helm Chart of Bitnami to openshift, i got the Error ""Readiness Probe failed""
the Health Check setting for Readiness and liveness Probe is looking like this
          ...",2022-06-29 07:06:29Z,3,1,2k,False,False,False
72797048,How can I get our application pod logs to the aws cloudwatch?,https://stackoverflow.com/questions/72797048/how-can-i-get-our-application-pod-logs-to-the-aws-cloudwatch,"['amazon-web-services', 'kubernetes', 'amazon-cloudwatch', 'kubernetes-pod', 'amazon-cloudwatchlogs']","I'm trying to get my running applications pod logs in the AWS cloud watch .I got some reference from the youtube

https://www.youtube.com/watch?v=DPCS8jBqmQk

They used fluentd and all .Once after you ...",2022-06-29 06:59:10Z,1,0,248,False,False,False
72796525,Application not working due to Kubernetes Ingress Conroller Fake Certificate,https://stackoverflow.com/questions/72796525/application-not-working-due-to-kubernetes-ingress-conroller-fake-certificate,"['kubernetes', 'ssl-certificate', 'kubernetes-ingress', 'nginx-ingress', 'rancher']","I'm trying to deploy an app using Kubernetes and Rancher,but I get the error ""The certificate for this site is not valid."" How can I change the certificate from  Kubernetes Ingress Conroller ...",2022-06-29 06:08:08Z,1,1,558,False,False,False
72795998,Read-only file system error in Kubernetes POD,https://stackoverflow.com/questions/72795998/read-only-file-system-error-in-kubernetes-pod,"['linux', 'kubernetes', 'containers', 'kubernetes-pod']","I have deployed the Kubernetes pod through the deployment file. While checking the logs, all the volumeMount inside the pod are read-only permission which throws an error and the application is not ...",2022-06-29 05:03:47Z,0,2,9k,False,False,False
72795443,How to source an sh file in a pod to create env variables?,https://stackoverflow.com/questions/72795443/how-to-source-an-sh-file-in-a-pod-to-create-env-variables,"['kubernetes', 'containers', 'kubernetes-pod']","I have a pod with multiple init containers and one main container. One of the init container create a sh file with some export commands like:
export Foo=Bar

I want to source the file so it creates ...",2022-06-29 03:21:18Z,1,3,664,True,False,False
72795417,How long does it take for Kubernetes to detect and delete excess nodes,https://stackoverflow.com/questions/72795417/how-long-does-it-take-for-kubernetes-to-detect-and-delete-excess-nodes,"['kubernetes', 'amazon-eks']",I am running a Kubernetes cluster in AWS EKS and I set up the autoscaler. I tested the autoscaler and it worked as when the number of pods in a node exceeded 110 then new nodes were automatically ...,2022-06-29 03:17:36Z,1,1,391,True,False,False
72795124,How to automatically roll a CronJob on ConfigMap change,https://stackoverflow.com/questions/72795124/how-to-automatically-roll-a-cronjob-on-configmap-change,"['kubernetes', 'kubernetes-helm']","When my ConfigMap changes, I'd like my CronJob to restart.
There's a trick in Helm to make this happen for Deployments using an annotation that contains the SHA of the ConfigMap (see here or here).
...",2022-06-29 02:26:53Z,0,1,332,False,False,False
72793827,Expanding EBS volume in use as PVC in kubernetes pod,https://stackoverflow.com/questions/72793827/expanding-ebs-volume-in-use-as-pvc-in-kubernetes-pod,"['amazon-web-services', 'kubernetes', 'amazon-ebs', 'kubernetes-pvc']",I am working with a couple of k8s pods that have a PVC attached to it as an EBS volume in AWS. I made the mistake of increasing the space of the volume through the EBS console in AWS. I was thinking I ...,2022-06-28 22:31:01Z,3,0,577,False,False,False
72793318,How to show deployed image tags in kubernetes cluster via http,https://stackoverflow.com/questions/72793318/how-to-show-deployed-image-tags-in-kubernetes-cluster-via-http,['kubernetes'],"Looking for some ideas on how to expose an http endpoint from kubernetes cluster that shows the docker images tag for each service that is live and up-to-date as services are updated with newer tags.
...",2022-06-28 21:25:25Z,0,1,107,False,False,False
72793299,YAML code to create a configmap with a particular file (.js/.sh),https://stackoverflow.com/questions/72793299/yaml-code-to-create-a-configmap-with-a-particular-file-js-sh,"['kubernetes', 'kubernetes-helm']","What will be the equivalent ConfigMap YAML code for the following command line?


kubectl create configmap mongo-initdb --from-file=init-mongo.js",2022-06-28 21:22:31Z,0,3,75,True,False,False
72792998,Operation to downscale deployment to 0 after 50 restarts,https://stackoverflow.com/questions/72792998/operation-to-downscale-deployment-to-0-after-50-restarts,"['kubernetes', 'deployment', 'kubernetes-pod']","Operation to downscale deployments when there are too many restarts. So for example when a deployment restarts 10 times or 50 times it will automatically downscale to zero
Is this some kind of ...",2022-06-28 20:49:00Z,1,0,66,False,False,False
72792663,is RabbitMQ queueing system unnecessary in a Kubernetes cluster?,https://stackoverflow.com/questions/72792663/is-rabbitmq-queueing-system-unnecessary-in-a-kubernetes-cluster,"['kubernetes', 'rabbitmq']","I have just been certified CKAD (Kubernetes Application Developer) by The Linux Foundation.
And from now on I am wondering : is RabbitMQ queueing system unnecessary in a Kubernetes cluster ?
We use ...",2022-06-28 20:16:55Z,0,1,57,False,False,False
72792408,How to convert a docker-compose file to Kubernetes YAML file?,https://stackoverflow.com/questions/72792408/how-to-convert-a-docker-compose-file-to-kubernetes-yaml-file,"['docker', 'kubernetes', 'dockerfile', 'kubernetes-pod']","How to convert the following code for docker-compose to Kubernetes YAML file.
version: '3.8'
services:
  mongo:
    image: mongo
    restart: always
    ports:
      - 27017:27017
    volumes:
      - ...",2022-06-28 19:52:19Z,-1,2,476,True,False,False
